unique_id,ds,XGBRegressor,y
lago_norte,2023-12-19,2.0493078,4.0
lago_norte,2023-12-20,2.1238894,3.0
lago_norte,2023-12-21,2.108777,2.0
lago_norte,2023-12-22,1.9228642,1.0
lago_norte,2023-12-23,1.5832226,1.0
lago_norte,2023-12-24,1.4511528,0.0
lago_norte,2023-12-25,2.0734267,0.0
lago_norte,2023-12-26,1.9771208,1.0
lago_norte,2023-12-27,1.9102001,1.0
lago_norte,2023-12-28,1.8100464,0.0
lago_norte,2023-12-29,1.8342767,1.0
lago_norte,2023-12-30,1.4966342,1.0
lago_norte,2023-12-31,1.4872408,0.0
lago_norte,2024-01-01,2.409122,0.0
lago_norte,2024-01-02,1.9995431,1.0
lago_norte,2024-01-03,1.9604236,1.0
lago_norte,2024-01-04,1.9617655,0.0
lago_norte,2024-01-05,2.0698445,3.0
lago_norte,2024-01-06,1.9056768,0.0
lago_norte,2024-01-07,1.7699387,1.0
lago_norte,2024-01-08,2.5448427,2.0
lago_norte,2024-01-09,2.1721778,4.0
lago_norte,2024-01-10,2.1356215,1.0
lago_norte,2024-01-11,2.1189976,3.0
lago_norte,2024-01-12,2.2113497,1.0
lago_norte,2024-01-13,1.9967693,1.0
lago_norte,2024-01-14,1.8668315,2.0
lago_norte,2024-01-15,2.7224698,5.0
lago_norte,2024-01-16,2.2515087,2.0
lago_norte,2024-01-17,2.1584253,4.0
lago_norte,2024-01-18,2.076757,2.0
lago_norte,2024-01-19,2.2347353,3.0
lago_norte,2024-01-20,2.0350978,2.0
lago_norte,2024-01-21,1.9127941,1.0
lago_norte,2024-01-22,2.6881866,1.0
lago_norte,2024-01-23,2.2941346,4.0
lago_norte,2024-01-24,2.1635184,4.0
lago_norte,2024-01-25,2.1507874,1.0
lago_norte,2024-01-26,2.238047,5.0
lago_norte,2024-01-27,2.0350978,2.0
lago_norte,2024-01-28,1.9127941,1.0
lago_norte,2024-01-29,2.6881866,4.0
lago_norte,2024-01-30,2.2515087,7.0
lago_norte,2024-01-31,2.1584253,3.0
lago_norte,2024-02-01,2.0835218,4.0
lago_norte,2024-02-02,2.1758745,6.0
lago_norte,2024-02-03,1.9637778,3.0
lago_norte,2024-02-04,1.7286726,5.0
lago_norte,2024-02-05,2.4553342,6.0
lago_norte,2024-02-06,2.1125903,5.0
lago_norte,2024-02-07,2.0618162,9.0
lago_norte,2024-02-08,2.0568252,6.0
lago_norte,2024-02-09,2.1542704,6.0
lago_norte,2024-02-10,1.9370812,2.0
lago_norte,2024-02-11,1.7019752,0.0
lago_norte,2024-02-12,2.428637,8.0
lago_norte,2024-02-13,2.1552162,3.0
lago_norte,2024-02-14,2.0669093,7.0
lago_norte,2024-02-15,2.0619183,11.0
lago_norte,2024-02-16,2.1542704,20.0
lago_norte,2024-02-17,1.9370812,10.0
lago_norte,2024-02-18,1.7019752,1.0
lago_sul,2023-12-15,2.1885638,0.0
lago_sul,2023-12-16,1.7264924,0.0
lago_sul,2023-12-17,1.4965012,0.0
lago_sul,2023-12-18,2.0944862,1.0
lago_sul,2023-12-19,2.1831317,3.0
lago_sul,2023-12-20,2.2216182,1.0
lago_sul,2023-12-21,1.8380694,1.0
lago_sul,2023-12-22,1.8011894,0.0
lago_sul,2023-12-23,1.5681074,1.0
lago_sul,2023-12-24,1.502969,0.0
lago_sul,2023-12-25,2.1291714,0.0
lago_sul,2023-12-26,1.9771208,3.0
lago_sul,2023-12-27,1.8526278,2.0
lago_sul,2023-12-28,1.8518903,2.0
lago_sul,2023-12-29,1.7924078,1.0
lago_sul,2023-12-30,1.5832226,0.0
lago_sul,2023-12-31,1.4872408,1.0
lago_sul,2024-01-01,2.3096375,1.0
lago_sul,2024-01-02,1.9795893,0.0
lago_sul,2024-01-03,1.9604236,1.0
lago_sul,2024-01-04,1.9617655,1.0
lago_sul,2024-01-05,2.0408823,3.0
lago_sul,2024-01-06,1.9056768,1.0
lago_sul,2024-01-07,1.7467558,1.0
lago_sul,2024-01-08,2.4692473,1.0
lago_sul,2024-01-09,2.1721778,0.0
lago_sul,2024-01-10,2.1356215,3.0
lago_sul,2024-01-11,2.1189976,3.0
lago_sul,2024-01-12,2.16902,1.0
lago_sul,2024-01-13,2.005174,0.0
lago_sul,2024-01-14,1.8860972,1.0
lago_sul,2024-01-15,2.6957726,4.0
lago_sul,2024-01-16,2.2515087,0.0
lago_sul,2024-01-17,2.0894876,3.0
lago_sul,2024-01-18,2.1507874,5.0
lago_sul,2024-01-19,2.24314,2.0
lago_sul,2024-01-20,2.0350978,0.0
lago_sul,2024-01-21,1.9127941,1.0
lago_sul,2024-01-22,2.6881866,2.0
lago_sul,2024-01-23,2.2941346,2.0
lago_sul,2024-01-24,2.1635184,3.0
lago_sul,2024-01-25,2.1456943,3.0
lago_sul,2024-01-26,2.238047,1.0
lago_sul,2024-01-27,2.0350978,3.0
lago_sul,2024-01-28,1.9127941,2.0
lago_sul,2024-01-29,2.6881866,4.0
lago_sul,2024-01-30,2.2515087,2.0
lago_sul,2024-01-31,2.1584253,4.0
lago_sul,2024-02-01,2.0835218,2.0
lago_sul,2024-02-02,2.1758745,6.0
lago_sul,2024-02-03,1.9637778,5.0
lago_sul,2024-02-04,1.7286726,1.0
lago_sul,2024-02-05,2.4553342,7.0
lago_sul,2024-02-06,2.1125903,9.0
lago_sul,2024-02-07,2.0618162,11.0
lago_sul,2024-02-08,2.0568252,7.0
lago_sul,2024-02-09,2.1542704,7.0
lago_sul,2024-02-10,1.9370812,3.0
lago_sul,2024-02-11,1.7019752,3.0
lago_sul,2024-02-12,2.428637,4.0
lago_sul,2024-02-13,2.1552162,8.0
lago_sul,2024-02-14,2.0669093,7.0
lago_sul,2024-02-15,2.0619183,14.0
nucleo_bandeirante,2023-12-18,2.0275006,1.0
nucleo_bandeirante,2023-12-19,1.8685794,0.0
nucleo_bandeirante,2023-12-20,1.70256,0.0
nucleo_bandeirante,2023-12-21,1.663404,0.0
nucleo_bandeirante,2023-12-22,1.6530893,0.0
nucleo_bandeirante,2023-12-23,1.5011942,0.0
nucleo_bandeirante,2023-12-24,1.3981607,0.0
nucleo_bandeirante,2023-12-25,2.0304246,0.0
nucleo_bandeirante,2023-12-26,1.9173949,1.0
nucleo_bandeirante,2023-12-27,1.7439747,0.0
nucleo_bandeirante,2023-12-28,1.7544842,0.0
nucleo_bandeirante,2023-12-29,1.7986934,0.0
nucleo_bandeirante,2023-12-30,1.5832226,0.0
nucleo_bandeirante,2023-12-31,1.4872408,0.0
nucleo_bandeirante,2024-01-01,2.3752637,0.0
nucleo_bandeirante,2024-01-02,1.9795893,0.0
nucleo_bandeirante,2024-01-03,1.9514145,0.0
nucleo_bandeirante,2024-01-04,1.9617655,0.0
nucleo_bandeirante,2024-01-05,2.0698445,1.0
nucleo_bandeirante,2024-01-06,1.882494,0.0
nucleo_bandeirante,2024-01-07,1.7022457,0.0
nucleo_bandeirante,2024-01-08,2.4692473,0.0
nucleo_bandeirante,2024-01-09,2.2136035,0.0
nucleo_bandeirante,2024-01-10,2.1356215,0.0
nucleo_bandeirante,2024-01-11,2.138443,1.0
nucleo_bandeirante,2024-01-12,2.2113497,0.0
nucleo_bandeirante,2024-01-13,2.0084019,0.0
nucleo_bandeirante,2024-01-14,1.8860972,1.0
nucleo_bandeirante,2024-01-15,2.7224698,1.0
nucleo_bandeirante,2024-01-16,2.2941346,1.0
nucleo_bandeirante,2024-01-17,2.1635184,1.0
nucleo_bandeirante,2024-01-18,2.1507874,0.0
nucleo_bandeirante,2024-01-19,2.238047,1.0
nucleo_bandeirante,2024-01-20,2.0350978,4.0
nucleo_bandeirante,2024-01-21,1.9127941,1.0
nucleo_bandeirante,2024-01-22,2.6881866,0.0
nucleo_bandeirante,2024-01-23,2.2515087,0.0
nucleo_bandeirante,2024-01-24,2.1584253,1.0
nucleo_bandeirante,2024-01-25,2.1456943,0.0
nucleo_bandeirante,2024-01-26,2.238047,3.0
nucleo_bandeirante,2024-01-27,2.0350978,1.0
nucleo_bandeirante,2024-01-28,1.9127941,0.0
nucleo_bandeirante,2024-01-29,2.6881866,1.0
nucleo_bandeirante,2024-01-30,2.2515087,0.0
nucleo_bandeirante,2024-01-31,2.1584253,1.0
nucleo_bandeirante,2024-02-01,2.0835218,2.0
nucleo_bandeirante,2024-02-02,2.1758745,1.0
